repo_name|file_count|line_count|commits|primary_language|last_pushed
jesseray718/aerocement|61|3246|1|Python|2026-07-17T04:55:18Z
jesseray718/openroot|700|140639|1|Makefile|2026-07-17T03:40:26Z
jesseray718/kai-memory|1|2|1|unknown|2026-07-17T02:18:20Z
jesseray718/AeroCement_Ecosystem|7|310|1|Shell|2026-07-12T01:53:49Z
jesseray718/OpenCell-Thermal-System|29|3266|1|Python|2026-07-11T15:32:54Z
jesseray718/jesseray718|3|88|1|unknown|2026-07-09T02:55:07Z
jesseray718/agape-une|3|24|1|unknown|2026-07-05T02:57:57Z
jesseray718/openroot-spoke-template|3|25|1|unknown|2026-07-03T03:13:38Z
jesseray718/civilization2.0|2|151|1|unknown|2026-06-24T08:32:17Z
jesseray718/open-cell-thermal-loop|0|0|0|unknown|2026-06-06T19:09:43Z
jesseray718/open-cell-thermal-open-cell-the|0|0|0|unknown|2026-06-06T19:07:31Z
jesseray718/renaissance-protocol|51|7385|1|Python|2026-06-03T10:33:53Z
jesseray718/aerocement-|0|0|0|unknown|2026-05-28T23:26:05Z
